STUDENT,SCHOOL,CITY,GROUP,SUBJECT,SCORE,STARTDATE,ENDDATE,DURATION,ACTIVITYID
00EC9E5A,A486798D,México,FEEBEF8E,Matemáticas,7.2,04:10.7,03:53.6,3527,214878
B32D587D,3C49AA57,Monterrey,C8DEAA98,Matemáticas,7,58:31.9,16:52.4,4675,218784
880CA7E4,0F150B72,Phoenix,3DF5CCC4,Español,8.2,23:59.2,48:11.2,4634,220298
7D344CC8,0F150B72,Phoenix,0FAFF238,Español,6.6,46:45.6,35:24.9,3201,225219
A3F08BCA,A486798D,México,176A123A,Matemáticas,4,44:57.8,58:29.5,6850,214546
DD907250,A486798D,México,B9337BA4,Matemáticas,6.4,09:54.4,47:50.8,5524,224064
EBF4D4A3,1167FDAE,Berlín,C6418AF0,Matemáticas,9.2,19:43.0,34:58.9,1501,216535
9353050F,A486798D,México,7553FBC5,Español,8.8,31:21.2,44:15.7,4092,222348
C595A6A6,A486798D,México,2B5DD894,Español,7,27:52.4,13:01.9,2679,215386
218763D1,0F150B72,Phoenix,3DF5CCC4,Matemáticas,3.8,46:31.8,02:05.9,3193,220911
37C3C179,A2AB9C69,Santiago,304D73BA,Español,3.2,16:29.7,12:01.5,3302,224654
BA456DB9,0F150B72,Phoenix,0FAFF238,Matemáticas,7.6,08:36.5,53:39.9,6251,214229
BC549C86,7FB68715,México,5467F1B9,Matemáticas,8.2,25:34.4,44:57.8,7156,226365
3E6E847A,A486798D,México,B9337BA4,Español,6.8,51:32.5,41:52.2,2902,213544
9E52F666,9978663E,Madrid,44EF6352,Español,5,56:51.5,29:20.3,1904,216197
9B30B31C,A486798D,México,EA11A637,Español,6.8,37:03.5,12:22.5,2060,215351
D07EBB5C,D1AE6FE2,México,21173C59,Matemáticas,3.8,00:51.3,37:39.8,1972,222125
F5262CF1,A486798D,México,FEEBEF8E,Matemáticas,6.6,54:50.9,37:18.6,2555,222115
BBD9F98F,3C49AA57,Monterrey,329D1823,Matemáticas,6.8,05:20.7,46:18.9,3332,220222
5662F880,A486798D,México,13E646F6,Matemáticas,6.2,54:48.1,51:19.9,6731,220436
4BAA8312,E09B244A,México,A81EE78D,Español,5.6,34:53.0,40:52.9,6095,225374
CB021EF0,7FB68715,México,ACD4FB47,Español,3.2,33:37.8,00:54.8,1333,226033
CB50BD04,67BB77A5,Brasilia,6163354B,Matemáticas,5.6,06:52.3,52:33.8,6126,214146
6C0A64D7,AE9E4D9C,Phoenix,A466AB58,Matemáticas,5.8,26:28.0,07:09.3,2417,221094
150CB549,A486798D,México,2DD38A8B,Matemáticas,2.6,05:21.6,14:23.7,4047,212304
6DEED72D,A486798D,México,D2F5812E,Español,3.2,51:11.0,58:01.2,393,214523
23126BE9,A486798D,México,7B4B171D,Matemáticas,7,07:21.3,04:26.8,6992,214919
C1548512,9978663E,Madrid,456EBE2F,Español,NULL,39:09.5,NULL,NULL,NULL
62F214F6,3C49AA57,Monterrey,C4340E54,Matemáticas,2.2,55:29.8,29:54.0,2018,216227
38CC0DF5,A486798D,México,9EFFF4B8,Español,4.8,22:31.1,21:45.5,7078,221595
067A2F5B,1167FDAE,Berlín,01885CA0,Español,6.2,37:08.6,38:33.3,3433,216707
9BCDE5B0,A486798D,México,0EA62CAD,Matemáticas,8.4,09:19.4,57:57.6,6399,214516
DE786665,9978663E,Madrid,456EBE2F,Matemáticas,8,08:27.7,20:38.2,4266,212535
E654CB06,A486798D,México,7B4B171D,Matemáticas,6.2,42:43.2,35:59.6,2449,219727
A183E000,A486798D,México,D2F5812E,Matemáticas,6.4,53:28.2,14:04.4,4714,223161
C6519409,A2AB9C69,Santiago,6269483D,Matemáticas,6.8,34:44.5,21:41.0,8797,223395
B7A7EBC8,4A1E545C,México,CA898FDD,Matemáticas,5.8,20:13.4,23:16.7,7347,221649
13E8417E,A486798D,México,B9337BA4,Español,6.6,54:05.3,37:10.0,5468,219789
C4F3D484,A486798D,México,7553FBC5,Matemáticas,4.6,02:38.1,15:12.9,4329,212330
BF8D68B2,A486798D,México,7553FBC5,Español,4,15:37.4,57:47.3,2448,222730
2284A8AE,AFDB98BD,México,0CD0DFCD,Matemáticas,6.2,14:05.7,08:39.8,6638,215166
37EDAF7F,A486798D,México,60FD0065,Matemáticas,2.8,25:04.9,40:19.4,4434,216794
37258F57,9978663E,Madrid,B07371F6,Matemáticas,3,05:05.7,51:49.7,13468,220457
E9616975,AFDB98BD,México,B58F05B2,Español,6.2,54:51.4,31:29.9,5518,219533
E1D2DF24,9978663E,Madrid,E4F31EF2,Matemáticas,4.8,00:44.3,18:12.0,4398,223304
39E1BE73,A486798D,México,2DD38A8B,Matemáticas,5.8,00:20.3,13:50.4,7908,215448
E502DBFD,7FB68715,México,ACD4FB47,Matemáticas,5.2,35:38.4,53:26.3,4656,224189
CDD0CFB3,BC38F61F,Mazatlán,021F35C5,Matemáticas,3,11:29.5,27:43.9,4480,212821
C33DA1AB,9978663E,Madrid,44EF6352,Matemáticas,3,07:40.4,44:19.3,2168,217022
787FF8F9,3C49AA57,Monterrey,3A29787E,Matemáticas,7.4,14:00.3,19:42.2,3907,212498
3378C7AA,9E8D7DEF,Curitiba,E8602211,Español,3,35:52.8,41:58.2,322,223903
1703DA6D,3C49AA57,Monterrey,53E57061,Matemáticas,8.4,26:34.6,44:41.2,6712,226362
C02320CF,7FB68715,México,4222CF34,Español,7,09:34.3,02:10.0,3141,220913
4AF374CA,A486798D,México,9EFFF4B8,Español,6.4,01:03.9,36:27.7,2044,222088
49EB6F5A,9978663E,Madrid,456EBE2F,Español,4.2,30:26.4,18:09.8,2845,223303
4FC87D9E,7FB68715,México,CC5D52E3,Español,3.8,02:50.4,59:28.0,3256,225964
2782743E,3C49AA57,Monterrey,55307DCA,Matemáticas,7.6,07:49.2,07:53.2,7170,215121
705ABE09,A2AB9C69,Santiago,304D73BA,Matemáticas,2.2,38:17.8,20:54.5,6018,226247
E5E33F4D,A486798D,México,7553FBC5,Matemáticas,3.8,29:45.1,42:26.2,749,222289
578B9F73,AE9E4D9C,Phoenix,4BFD27E4,Español,6,07:50.1,22:49.5,3961,221634
534181F1,A486798D,México,7553FBC5,Matemáticas,3.2,54:19.4,25:41.6,4807,212737
9EF476FD,F890389A,París,26E00EA4,Español,7.6,18:35.8,46:13.0,8132,225512
2A37FDD0,A2AB9C69,Santiago,D690F06A,Español,1.6,48:02.3,54:00.7,330,228571
E2DA9C2F,AE9E4D9C,Phoenix,A466AB58,Español,4.8,31:39.1,01:08.5,1740,217925
7C5DD043,A486798D,México,0EA62CAD,Español,4,15:09.1,14:53.6,3560,218657
6A670CEB,7FB68715,México,4B2E8458,Matemáticas,9.2,53:32.6,30:44.4,1523,219503
D6EAFF59,9978663E,Madrid,38A6F80C,Matemáticas,3.8,47:52.9,25:05.8,2217,212715
6ECA01EC,4A1E545C,México,CA898FDD,Matemáticas,8,57:06.7,37:14.4,2263,222112
10432DF9,A486798D,México,0EA62CAD,Español,6,27:32.8,42:46.5,4493,220054
6.50E+07,D1AE6FE2,México,4EAD9229,Matemáticas,1.8,11:21.6,58:11.9,2713,227968
FE4DC937,9978663E,Madrid,96F8FCF0,Español,3.8,38:58.4,26:06.9,1956,219235
09F34343,A486798D,México,B9337BA4,Matemáticas,6.4,00:20.7,20:40.5,4585,215777
A4337B7D,A486798D,México,D2F5812E,Español,1.6,09:31.8,09:04.1,3551,221161
E3A4E3A8,3C49AA57,Monterrey,329D1823,Español,5.6,35:09.5,30:14.5,2033,221882
A3EABACF,3C81C45E,Barcelona,96B5267C,Español,7.6,29:32.7,31:10.7,3664,216314
D518B846,A486798D,México,7B4B171D,Español,7.2,03:50.7,22:47.0,4642,219070
4B4BFC97,3C49AA57,Monterrey,329D1823,Matemáticas,NULL,15:12.3,NULL,NULL,NULL
49A33FB6,A486798D,México,2DD38A8B,Español,6.2,57:20.6,02:44.4,3884,218020
48E8983E,A486798D,México,FEEBEF8E,Matemáticas,5.2,10:21.4,27:13.6,4538,219304
6A12BEC3,F030B0A5,Sevilla,B4EAFCDB,Matemáticas,3,26:05.1,58:21.4,1904,228095
0DF731E4,F030B0A5,Sevilla,99CB5F4A,Matemáticas,NULL,12:29.7,NULL,NULL,NULL
DE8147A2,AE9E4D9C,Phoenix,03BCD3B9,Matemáticas,7.8,56:05.2,43:01.2,2683,216933
DB4A6861,3C49AA57,Monterrey,53E57061,Español,3.4,39:18.7,50:12.2,627,214035
790A1087,67BB77A5,Brasilia,F69023EA,Matemáticas,5.6,05:18.5,52:36.2,6194,214149
93D26E8C,1167FDAE,Berlín,929C93B6,Matemáticas,NULL,04:40.2,NULL,NULL,NULL
C1926E73,9978663E,Madrid,E4F31EF2,Matemáticas,8,08:11.6,20:34.7,4291,212531
9724C51C,0F150B72,Phoenix,DF59FF6A,Español,6.2,56:57.2,38:02.3,7251,222138
16786F62,A2AB9C69,Santiago,E2ACA14A,Español,NULL,56:50.1,NULL,NULL,NULL
E841DA70,9978663E,Madrid,7D82C9A1,Matemáticas,3.4,55:58.8,12:18.2,788,215347
CBB93F78,3C49AA57,Monterrey,329D1823,Matemáticas,NULL,58:05.6,NULL,NULL,NULL
865438AD,A486798D,México,13E646F6,Español,8.4,00:30.3,43:21.8,2555,216957
8CCCC164,A486798D,México,176A123A,Matemáticas,5.2,11:19.7,03:48.8,2834,218076
0720675E,3C49AA57,Monterrey,55307DCA,Matemáticas,7.8,00:28.1,37:37.2,5790,213328
71EDCC08,67BB77A5,Brasilia,F69023EA,Matemáticas,5.6,13:03.4,31:21.5,4662,212989
BC22B93B,A486798D,México,FEEBEF8E,Español,7.4,36:15.8,49:21.2,761,217276
003AC6B9,A486798D,México,7B4B171D,Español,7.2,01:56.2,03:03.1,3639,211989
1FF22276,A486798D,México,2DD38A8B,Matemáticas,6.6,07:17.2,49:34.9,5477,213982
EDA3060D,A486798D,México,2DD38A8B,Matemáticas,5.8,08:45.5,36:52.8,5254,213289
6A571108,4A1E545C,México,DC4F438F,Matemáticas,2.4,48:30.5,52:55.3,2772,220511
6CB6D2F1,A486798D,México,B9337BA4,Matemáticas,NULL,03:28.8,NULL,NULL,NULL
537D07FE,A486798D,México,60FD0065,Español,7,33:09.1,00:03.2,5164,217886
54610648,A486798D,México,FEEBEF8E,Matemáticas,2.4,00:59.0,02:38.7,3680,211976
7FE08807,AE9E4D9C,Phoenix,D4213C76,Matemáticas,2.2,11:45.5,32:32.5,1186,221969
F0C75098,9E8D7DEF,Curitiba,ACB90577,Matemáticas,7.6,30:11.4,58:20.8,5180,214540
926A38D3,AFDB98BD,México,DB7F496B,Español,5.4,46:47.7,25:11.9,2286,224976
643E389A,A486798D,México,9EFFF4B8,Español,5.6,42:39.9,19:03.5,2004,218887
90A6578E,A2AB9C69,Santiago,0EF19EE5,Matemáticas,1.8,43:20.7,17:13.4,1878,223275
64632308,A2AB9C69,Santiago,304D73BA,Matemáticas,5.6,21:20.4,28:28.5,7369,226288
BF42ADEA,3C49AA57,Monterrey,C8DEAA98,Español,7.6,33:30.5,23:00.3,2522,221641
84219DE1,AFDB98BD,México,C764CBF0,Español,7.8,45:48.7,56:09.0,7786,217684
